Image,PSNR_Gaussian,PSNR_Median,PSNR_Bilateral
340_img_.png,28.837100983260484,30.014045696072596,29.479651400522506
341_img_.png,27.404730328476692,27.457311900479176,29.472994221529465
342_img_.png,29.52745554491836,31.45968431646187,29.385874529920436
343_img_.png,27.5103302221926,27.635260846378888,28.838947865560115
345_img_.png,30.170094284267076,34.44586904020845,30.771646679733067
346_img_.png,24.471176495790598,23.555725328952526,27.37269606069448
347_img_.png,27.467800379326285,27.26312848003095,28.634499700015354
348_img_.png,29.06692353833257,30.875722099773423,30.075213101167964
35.png,28.159210810735047,27.24089395429635,28.47679807854636
350_img_.png,26.253422153530014,26.112465875615204,28.511994249875535
351_img_.png,24.447386949277924,23.50135205303905,27.70087049151278
353_img_.png,26.99745716483171,26.27065780968409,27.730539307079297
355_img_.png,29.841282360682506,33.09540465749486,30.56418510419867
356_img_.png,26.775751598618783,26.730559065546203,29.047478192027878
359_img_.png,26.448362831946515,26.283524946624446,29.053751737873846
360_img_.png,29.958435107497174,33.66583226327852,30.562885586953637
361_img_.png,29.412846934153528,31.655165250574342,30.13862746190037
362_img_.png,29.815513154249377,32.986351486218304,30.309165824272505
363_img_.png,29.11239039180023,31.039955841992185,30.14855834009318
364_img_.png,29.655722112717736,32.07754717202783,30.67662937753367
3650.png,30.267682042221132,34.85610930216263,30.963001277894424
365_img_.png,24.740459893730247,23.988975467822517,27.389922961173596
366_img_.png,25.662631262258962,24.591179850528345,27.87343695876053
367_img_.png,25.881148060091558,25.408502694782594,28.022910638133602
369_img_.png,29.914767684497935,32.13393651468987,30.594286687499242
370_img_.png,29.737437698071997,31.391743057300733,29.956035723600046
371_img_.png,30.538880291269408,36.59379380595704,31.42392613206826
3728.png,30.093042506511534,33.605212139524944,30.83346301245254
372_img_.png,30.51225070609049,36.20316450876789,31.237611037582084
373_img_.png,29.972764091691833,32.928213516601154,30.742657764284935
374_img_.png,30.487030668177738,36.41088655441182,31.409276287010922
375_img_.png,29.922962005062722,32.43582354700929,30.489826159836127
376_img_.png,29.743390129811566,31.637128054111585,30.114367422320356
377_img_.png,30.328107041190933,34.275105403839476,30.734600424627377
378_img_.png,29.033549911256138,28.826780225507584,29.18555874738305
379_img_.png,30.50867496973101,35.00453423786919,30.896375285962016
37_img_.png,27.615441549682807,26.62295138042786,27.68651155974883
380_img_.png,30.58890948283888,36.976485959450635,31.348943378762847
381_img_.png,28.912879330537958,29.907927914941336,29.240243549604482
382_img_.png,29.78211668639997,32.388035996092924,30.079452099666547
383_img_.png,30.47161080277627,35.54521693260915,31.0004703893903
384_img_.png,29.977894956018826,32.954649084037456,30.36309425073574
385_img_.png,29.380740328355316,30.67894102072242,30.03028935866319
386_img_.png,28.66698600951604,28.24796768132036,28.555648583414705
387_img_.png,29.862345212325753,32.025114600027614,29.936640548291766
389_img_.png,29.509760009996402,31.3512426027544,30.338868098388044
391_img_.png,30.38486979855652,35.395012685693125,30.94231190697409
3925.png,30.407259763890366,36.45673350241179,31.334825127539204
392_img_.png,30.090518174519154,33.783039364890435,30.535539297485663
393_img_.png,30.087795464505174,32.643386813993686,30.06213255651168
3947.png,30.408992289018425,36.157418815251894,31.304561384670283
394_img_.png,28.874288193598538,29.829548466783706,29.5877412470784
395_img_.png,27.17282346952786,28.750138273194406,29.3163794513544
39_img_.png,23.342559051417414,22.048597783285864,27.289839451430204
3_img_.png,24.554350327701297,23.894482277086624,27.573625425713914
4.png,29.647733296506978,31.442428821951047,30.240407178349983
400_img_.png,27.885216078641115,28.18641945926082,29.69010588370275
401_img_.png,29.81236527648022,33.15619955599565,30.522014412473926
402_img_.png,29.934663843994684,32.77247566078623,30.28225691638695
403_img_.png,27.957067941423418,28.42204545326584,28.448711936116066
404_img_.png,29.028492257290548,32.22096944367654,29.90252109343399
405_img_.png,30.546942188087762,36.79455875489184,31.176214868959455
406_img_.png,30.291734725097548,34.68633485807133,30.811368512788498
4070.png,30.515681867409956,36.75851347527655,31.380473994243868
407_img_.png,30.527286956110167,36.42435962754255,31.12523799689141
408_img_.png,28.811109197547907,29.20980057849574,29.540107440099142
409_img_.png,26.711288462990197,25.98448443584075,27.986635376041864
410_img_.png,28.25362940043139,28.331810973868464,29.212841378082967
411_img_.png,25.420598037646,24.661789922289078,27.835159894083176
412_img_.png,28.210026202337524,28.050742744538134,28.83929608468039
413_img_.png,24.29343539338646,22.7192414538596,26.902201200409017
415_img_.png,26.325614650744026,26.29710456389745,28.15652813241708
416_img_.png,29.228626377100344,30.823143745653194,29.79839676609862
417_img_.png,29.894525779640215,32.966447229699455,30.467153903072905
418_img_.png,27.873953489187322,27.980456940159264,28.86568783898689
419_img_.png,30.122562026553318,33.69319798064913,30.448911354655763
41_img_.png,27.75883301842594,27.0248183459238,27.851867238585925
420_img_.png,29.051115410227666,30.69957931256056,29.68027267052181
421_img_.png,26.853178106042463,26.747634354332156,28.676951337290177
422_img_.png,29.23829078683214,30.394633926148195,29.877961168100086
423_img_.png,27.80589610915438,27.921208027930216,28.837552174145422
424_img_.png,23.861836229968503,22.80817607052246,28.509716425465804
